class,u,g,r,i,z,redshift,ra,dec,cluster
STAR,17.17106,15.84322,15.35562,15.18469,15.12566,9.52e-06,260.9160377503541,-44.16716400247881,0
GALAXY,18.85771,17.3365,16.60225,16.17563,15.9129,0.08826268,23.528282687619253,76.34663084460581,0
STAR,17.34617,16.41362,16.25885,16.21258,16.24118,0.001119249,113.50452161901973,49.556835698467694,0
STAR,19.13087,17.76954,17.2544,17.02957,16.9635,1.21e-05,194.2168652551214,13.397126940566013,0
GALAXY,19.52335,17.58873,16.70269,16.24651,15.89563,0.07870299,284.6603393420269,35.21523882940848,0
GALAXY,19.53143,17.72145,16.83091,16.39734,16.08084,0.07183877,114.75090105554516,76.37694390133726,0
GALAXY,19.03819,17.79249,17.22686,16.85721,16.63472,0.1125911,225.3208955173233,38.23092512512591,0
QSO,19.19906,18.98658,18.72967,18.60782,18.5857,1.403561,318.9519893650274,-23.69258863474788,0
GALAXY,18.08446,16.95451,16.28149,15.88147,15.60056,0.06255899,221.71074774562965,38.3450764120374,0
GALAXY,18.91198,17.72086,17.11255,16.70341,16.44827,0.06253219,83.86541091130816,-82.74993070763018,0
GALAXY,19.25243,18.13035,17.5816,17.27784,17.11384,0.06272236,8.784281360353688,-20.445198870495375,0
GALAXY,19.44082,17.37083,16.33696,15.88241,15.48007,0.09257647,313.2355946043348,-16.861854267795735,0
GALAXY,19.27058,18.17954,17.62054,17.24121,17.02961,0.09317704,7.65698790613937,-59.96911780424976,0
GALAXY,19.51307,17.54918,16.57006,16.11872,15.77169,0.094426,314.8926021663118,-85.84461350068136,0
STAR,17.44188,16.50197,16.1593,16.0127,15.9655,0.000324226,190.4173682497963,-65.9913774052063,0
QSO,19.45882,19.03379,18.74002,18.75484,18.7174,0.9878923,338.06437146464265,27.83186924346991,0
GALAXY,19.26553,18.14392,17.65994,17.31314,17.1382,0.09625829,287.5619648785195,54.41198694546375,0
QSO,19.41533,19.19654,18.99171,18.64631,18.57148,1.896616,359.25627979200146,87.87662869085534,0
QSO,19.30088,19.17728,19.26831,19.40944,19.54679,1.350456,126.25625356261564,-27.65456944047103,0
GALAXY,19.19938,17.25997,16.34987,15.97334,15.63232,0.09517123,276.1877840152057,17.88826000699831,0
GALAXY,19.30103,17.74245,16.89154,16.43431,16.10919,0.09610251,144.6951288993272,78.68609402672195,0
STAR,16.79231,15.50062,14.92929,14.68886,14.54752,0.00083366,172.75522330940717,-59.93247935913253,0
GALAXY,18.1164,16.60579,15.8752,15.48047,15.17607,0.05606531,225.90196675861324,39.17620554169369,0
GALAXY,19.20144,18.03407,17.66074,17.39079,17.30588,0.05642423,314.52376110708195,45.89617196684938,0
GALAXY,19.15184,18.10442,17.79133,17.5432,17.39712,0.03452292,354.27004891174624,-73.9844035435191,0
GALAXY,19.42867,17.59117,16.57017,16.0061,15.54113,0.09401862,276.57842899122653,65.02488933295172,0
STAR,18.8906,17.89754,17.59805,17.46548,17.39401,0.00014573,150.39604158024017,56.35890847995191,0
STAR,19.25194,18.2717,18.01712,17.90655,17.8851,0.000635232,151.68852081974526,-83.9874588160618,0
GALAXY,19.40891,17.79996,17.01348,16.59578,16.29567,0.09467486,265.52962857200095,-73.60480532159073,0
GALAXY,19.27823,18.12834,17.72846,17.40861,17.31925,0.07181334,85.95977247658884,-81.15715909946658,0
GALAXY,18.8345,16.77964,15.7686,15.32982,14.9749,0.09450503,39.77068072730208,-29.746164276114797,0
GALAXY,19.53542,17.98712,17.07004,16.60347,16.2515,0.1468786,127.66397675067957,1.6720183223867051,0
GALAXY,19.21375,17.86078,17.16067,16.72168,16.42554,0.09498288,103.40603699546942,5.822591031833184,0
GALAXY,19.21625,17.49431,16.58157,16.12693,15.79549,0.118056,106.67092336415644,-41.81998324150032,0
GALAXY,17.56078,15.84306,14.94349,14.44422,13.98974,0.03494354,84.09879037796757,74.08743958084935,0
GALAXY,19.58471,17.70535,16.7687,16.35852,16.00057,0.0935319,15.153548269090278,-23.71269782305562,0
GALAXY,19.44382,18.20186,17.57832,17.24597,16.98098,0.07396382,6.434616504028972,-81.80097192623654,0
STAR,19.43612,18.3378,18.18679,18.16129,18.19179,0.000970754,355.58006030497137,-35.95911992255046,0
GALAXY,19.5219,18.16031,17.61438,17.24478,16.99166,0.08698336,153.99832814491043,5.599696057947995,0
QSO,19.15374,19.11041,19.05404,18.77618,18.68085,1.875947,138.3575929774854,-16.520071934118235,0
GALAXY,18.86469,17.50174,16.83774,16.44392,16.17204,0.09084529,244.6730217695051,-40.70834656213335,0
GALAXY,19.55022,17.88519,17.09384,16.72751,16.41544,0.06510175,78.5713996314231,-66.36181504242286,0
GALAXY,17.78733,16.24017,15.49375,15.07718,14.73213,0.03397743,341.98602622208114,57.44961001732136,0
STAR,19.45107,18.38657,18.23066,18.18887,18.19806,0.000359334,283.0842051895987,89.30614358235454,0
QSO,19.03105,18.90905,18.6332,18.50312,18.49295,1.172575,32.187960832413424,-30.68241596570123,0
GALAXY,18.98467,17.80774,17.31339,16.97296,16.7476,0.0648981,150.3290792825742,-21.30821204821129,0
GALAXY,18.76714,16.93103,16.0499,15.61207,15.25153,0.08272831,316.4825907223793,21.246754441852275,0
GALAXY,19.56036,18.1666,17.6468,17.35279,17.20367,0.05840081,340.1035280249077,39.319465452397424,0
STAR,19.30804,18.8975,19.12333,19.37422,19.47773,-6.49e-05,168.2645440499531,-19.434683735353573,0
GALAXY,17.11091,15.75166,15.01781,14.61758,14.29235,0.02770622,220.82810011585477,72.88731305672675,0
GALAXY,18.85895,17.84279,17.39774,17.16279,16.95072,0.02126185,60.13222059314708,10.800718061205302,0
STAR,18.43512,17.30352,17.19988,17.21554,17.21168,0.000760672,356.82070540931153,-8.929786246932423,0
STAR,17.79241,16.66238,16.30104,16.16709,16.10818,-0.000132917,83.40181249803962,26.40109556878292,0
STAR,19.10976,17.73485,17.16479,16.95688,16.82334,-0.000173108,339.38343868864524,81.50469268485116,0
STAR,17.14923,15.54331,15.00412,14.8333,14.76185,9.88e-06,233.87279363725264,53.019412995906976,0
STAR,18.13579,16.62,16.09115,15.89266,15.78976,-5.15e-05,218.7852461563893,-82.79763650367762,0
QSO,19.3719,18.74821,17.80828,17.3182,16.99094,0.2384535,184.5678639659431,-30.184216066807267,0
STAR,18.15923,16.81399,16.21589,16.00613,15.84773,-0.000773104,83.04113221839313,-5.301956708779912,0
STAR,16.32855,15.31857,15.02294,14.91374,14.89553,-3.29e-05,63.55009152198298,-33.386837002361055,0
STAR,17.8005,16.60727,16.18797,16.04867,15.97751,-0.000250066,79.37503526526312,36.03376094948217,0
STAR,18.57653,17.68594,17.45869,17.37851,17.37804,-0.000481667,67.11777437193163,58.728446975264575,0
STAR,19.47127,18.3652,18.47488,18.56451,18.62382,0.000112753,280.65041048403117,41.64211713334888,0
STAR,19.12665,17.71632,17.18634,16.96498,16.84687,6.11e-06,126.04509330002284,88.07999162908953,0
STAR,18.00067,16.0931,15.29277,14.97982,14.8094,3.38e-05,20.823363562822692,-40.941423379254765,0
STAR,18.1284,16.30162,15.70005,15.53994,15.49854,1.86e-05,348.8769468506921,67.49810910439587,0
STAR,18.32051,16.89544,16.36172,16.16441,16.11468,-8.07e-05,318.16291858683326,47.9920797314075,0
GALAXY,18.0092,16.8149,16.35628,16.15085,16.01649,0.02279919,333.99082195027665,-24.807823639533694,0
GALAXY,18.57035,17.39246,16.95448,16.64374,16.48623,0.08034749,358.1668161527167,42.14241785825436,0
QSO,18.95351,18.8721,18.61315,18.59806,18.71719,1.215538,62.602289719015424,-71.26632784471555,0
STAR,18.00362,16.47341,15.92259,15.71688,15.64202,8.43e-06,142.64712680495714,52.08002682129941,0
STAR,18.25708,17.23043,17.10457,17.06309,17.08691,-0.00024857,272.96585125347286,5.819508465678467,0
STAR,18.06198,18.17445,18.66319,18.97943,19.28476,-6.93e-05,250.5674224993652,-37.38776891233443,0
STAR,17.65168,16.46087,16.11174,15.96434,15.91781,-3.76e-05,55.40252628234782,28.039914321152423,0
STAR,17.44747,16.1568,15.64906,15.43061,15.3442,0.000626346,293.69992499662237,25.491599768593616,0
STAR,17.64121,16.31137,15.83296,15.64754,15.56873,0.000123686,80.79860586119784,-52.29247991047205,0
GALAXY,19.17885,17.61417,16.90285,16.47362,16.20284,0.1083665,80.57434133614431,-84.5284653339253,0
STAR,17.44684,16.47435,16.19601,16.08416,16.06882,0.000682136,193.3107922416289,-11.9479343576987,0
STAR,18.55441,17.61557,17.4075,17.31738,17.33438,-0.000365598,213.45837654301317,12.512136481995825,0
QSO,18.89325,18.81742,18.84301,18.67533,18.50327,2.007343,208.83103482161204,67.78895010670772,0
STAR,17.98142,16.53124,15.98778,15.77157,15.66088,0.000177747,32.93526146319175,77.07902321656698,0
STAR,19.39293,18.38481,17.95502,17.74713,17.71264,0.000383909,315.88591054693694,5.184939268217946,0
GALAXY,19.1581,17.19834,16.23881,15.80317,15.43806,0.09052185,95.61601533193418,45.68462707833808,0
STAR,17.95998,16.9956,16.61325,16.44035,16.34248,0.000141414,46.6253716618095,-10.92541098096055,0
STAR,19.19136,18.31329,18.03049,17.93967,17.93863,0.000425948,319.94930875283177,44.294788183120744,0
STAR,17.14412,16.21274,15.921,15.81878,15.81111,0.000645585,344.0345393627112,-53.13572551094995,0
STAR,17.51531,16.20045,15.68766,15.51929,15.4486,-0.000235161,310.3659422155622,-23.20834773536434,0
STAR,18.96314,17.59786,17.08255,16.91562,16.82683,0.000289279,291.4257869009561,24.161039786450655,0
GALAXY,19.0892,17.42552,16.53225,16.09403,15.73852,0.08979167,235.88711303004783,-86.73156619072581,0
GALAXY,18.95655,17.6471,16.91203,16.48641,16.1866,0.1164155,198.30865341929015,40.04303586101173,0
STAR,19.29418,17.84228,17.29527,17.1264,17.03474,2.08e-05,31.31523356810765,60.39639022827001,0
STAR,16.30124,15.3312,15.01175,14.89482,14.85194,0.000400701,147.04315670545154,-18.15450100308874,0
STAR,18.57187,17.56417,17.22917,17.10789,17.06586,0.000119507,134.16786612443303,-9.370364908110416,0
STAR,16.46668,15.269,14.88395,14.74644,14.71614,-9.97e-05,93.51136215371744,63.23079819897558,0
STAR,19.48091,18.24233,17.72408,17.4977,17.36199,0.000688943,260.4312409278906,49.617834358686025,0
GALAXY,17.8125,16.3429,15.59771,15.18967,14.87065,0.07249224,178.5152646283575,-38.1330919739925,0
GALAXY,18.83398,17.60006,16.87173,16.47609,16.19033,0.07200869,29.176637726753256,-31.684300818922985,0
STAR,18.95565,18.12916,17.77666,17.61678,17.54009,0.001081874,79.26595270193208,32.19808183030739,0
STAR,17.49214,15.80527,15.13732,14.87314,14.72937,-5.64e-05,245.97315491745456,11.37565664066902,0
STAR,17.84209,16.9064,16.63681,16.526,16.5028,0.000150152,27.407109416508067,-60.79867720263055,0
STAR,18.96813,17.94991,17.49515,17.27039,17.14994,2.68e-05,306.43448905755673,-34.212616338750045,0
STAR,16.88696,15.18882,14.49096,14.194,14.03214,-0.000192874,178.25274972503075,71.99698983815773,0
GALAXY,18.91048,17.90761,17.43517,16.96392,16.87224,0.121482,173.0111678375933,33.87139861000742,0
GALAXY,19.25568,18.13317,17.58405,17.19809,16.94482,0.09681862,213.26680247742632,87.4753771833935,0
GALAXY,18.58539,17.44017,16.98545,16.70627,16.55293,0.03834352,296.8851477330537,48.06225539653849,0
GALAXY,18.70817,17.56186,17.0752,16.82436,16.6447,0.02147934,125.2113148447895,79.55539778584625,0
GALAXY,19.59427,18.38557,17.68336,17.307,17.08768,0.09223218,244.08581492126288,-51.086056703314426,0
GALAXY,19.42913,17.52109,16.54752,16.11374,15.74206,0.1023552,203.6635070384848,48.86727746704662,0
QSO,17.44763,17.40266,17.50672,17.52596,17.11701,0.3788754,96.13017726099169,-86.36084637339647,0
QSO,19.00821,18.81989,18.76197,18.49328,18.55766,1.735306,316.30679508785687,30.736803908076112,0
STAR,17.96716,16.8582,16.49776,16.34852,16.30215,-0.000159798,287.0733677784941,-5.529189938356552,0
GALAXY,19.58979,17.60658,16.50775,16.06941,15.6749,0.1254037,237.04266047703317,-27.583187054387643,0
GALAXY,19.01376,17.37282,16.52387,16.04365,15.73745,0.07376079,306.2094224739271,65.23278341275605,0
GALAXY,16.99432,15.79183,15.27985,14.97925,14.7697,0.0334835,312.22591234552885,63.76818467835551,0
GALAXY,19.44885,17.47757,16.55873,16.14563,15.80436,0.07397272,255.01067161741253,-85.98569311824416,0
GALAXY,18.92363,17.26388,16.43297,16.00368,15.63324,0.02864285,301.3247982109219,19.710922040897582,0
QSO,18.78444,18.68543,18.67734,18.44476,18.36081,1.72093,251.08972620094212,-23.79019962222785,0
STAR,19.19454,18.2396,17.88532,17.74109,17.69597,0.000844671,244.85067783370815,-15.181019729919155,0
STAR,18.80128,17.90495,17.55863,17.41512,17.35387,0.000755492,222.70009615746636,59.767333059379666,0
STAR,17.30171,16.04475,16.09419,16.15114,16.17701,-0.00025183,270.97799024075084,-34.22884112501791,0
QSO,18.87612,18.73602,18.68644,18.42043,18.36785,1.739622,57.09783790550653,79.74878591477162,0
GALAXY,18.27351,16.40658,15.54518,15.13496,14.80932,0.04576474,317.11347331161426,-57.66591125301466,0
GALAXY,19.53954,17.96132,17.15958,16.73947,16.4393,0.0461611,313.8636699882835,29.290036206271992,0
GALAXY,18.83664,17.79551,17.39124,17.15681,16.98134,0.03331094,10.529021892441293,30.978912062477647,0
GALAXY,19.55145,18.24758,17.61806,17.24913,17.00541,0.07032461,297.29403020331455,-44.60487094297472,0
QSO,16.39398,16.22292,16.42408,16.38773,16.20318,0.4237695,46.39315229044027,-31.54489038590364,0
GALAXY,19.31236,17.28536,16.27297,15.80224,15.39321,0.09054341,120.64278753329108,60.26372866438928,0
GALAXY,19.07446,17.87687,17.35461,17.03825,16.80634,0.09044667,267.6629722649788,47.12494589189143,0
GALAXY,18.90371,17.70587,17.27521,17.0301,16.88293,0.04807313,57.87356257739096,-30.76274154334328,0
GALAXY,17.58879,15.76081,14.9593,14.55726,14.24744,0.03824842,294.4681286828624,6.112178448288105,0
STAR,18.45418,17.59248,17.31742,17.188,17.16982,-5.78e-05,299.56830406478707,-78.89754667444282,0
GALAXY,18.78704,16.80903,15.79539,15.31342,14.94918,0.1128998,182.68838415390104,-52.42574116824674,0
STAR,18.75355,17.81158,17.4755,17.67501,17.28985,-0.000296908,2.2989138180600888,-2.552299405128167,0
QSO,19.07418,18.58641,18.00492,17.77501,17.75912,1.802212,103.3337279429686,-74.52472764974192,0
GALAXY,19.40988,18.23969,17.68433,17.41557,17.17148,0.03871421,222.0936906152672,61.79982388054876,0
GALAXY,17.98419,16.12447,15.30774,14.90887,14.56817,0.02880348,353.22702408987243,39.241117819376626,0
GALAXY,19.3086,17.46918,16.62757,16.24688,15.92839,0.07181122,227.4528697260006,79.85406071672907,0
GALAXY,19.53507,17.55457,16.51991,16.09631,15.7038,0.1115646,93.52928918309752,34.82404307352489,0
GALAXY,17.25497,15.45822,14.62087,14.21141,13.86431,0.04655705,228.24205311586007,79.27224700719341,0
GALAXY,19.02336,17.0235,16.00804,15.5729,15.19605,0.1111355,194.39473669770797,9.8122600243737,0
GALAXY,18.9642,18.08353,17.75463,17.3947,17.34639,0.1098315,280.7443422544117,18.039349991154495,0
GALAXY,19.25863,18.48204,18.11614,17.5987,17.57342,0.1094904,38.513029977705024,85.85478983272696,0
QSO,19.10832,18.87219,18.53382,18.35899,18.08469,0.2572901,273.9700449007301,25.583246435566863,0
QSO,19.27553,19.22455,19.17879,19.00458,18.92875,1.941778,194.8559683233997,-84.45841760506562,0
GALAXY,18.91626,17.77457,17.26922,16.94552,16.7597,0.09020376,346.6771213892381,40.28449979349418,0
GALAXY,18.41599,16.59383,15.68014,15.24811,14.90371,0.09037574,123.073979773927,72.9843645847348,0
QSO,17.82171,16.18506,15.35982,14.81807,14.51594,0.09042711,227.74388152822132,53.20444496297878,0
STAR,19.39888,18.51277,18.18876,18.07286,18.00324,0.000309134,335.53011798360626,15.089989072576074,0
GALAXY,19.42721,17.92982,17.13053,16.76155,16.47138,0.06422289,36.90350207664453,30.83463235683294,0
GALAXY,16.82234,15.87051,15.49392,15.32382,15.17367,0.01326556,337.4022554051224,88.23452206530092,0
QSO,19.24193,18.90892,18.79272,18.58503,18.66214,1.512699,247.6388600282928,-73.6808240683191,0
QSO,18.78107,18.6744,18.59999,18.36688,18.38834,1.821192,24.421341277861885,30.10406915398312,0
STAR,17.97189,18.35325,18.84194,19.19538,19.50974,-0.000143071,108.34688410085386,-38.98841497729311,0
STAR,18.37109,16.20697,15.25354,14.79899,14.74187,-6.89e-05,254.94195191230136,25.21627138551061,0
GALAXY,17.5434,15.58319,14.66213,14.16591,13.80773,0.02544205,24.246216528757813,19.372243659108975,0
QSO,19.56295,18.97588,18.76212,18.76532,18.53604,2.201163,209.58136566345837,-62.37777022053083,0
STAR,18.34674,18.29909,18.49475,18.67688,18.90414,-0.000306638,124.51790050306442,-52.78560376675695,0
QSO,18.93905,18.75433,18.66929,18.39901,18.34296,1.719752,223.52958639629176,21.893324047778435,0
GALAXY,19.38528,17.78866,16.97987,16.57544,16.2369,0.09092774,16.467132172504627,-66.91860948532066,0
STAR,16.4521,15.30543,15.14818,15.13035,15.16097,0.000306109,313.7532502148555,-42.26744247654189,0
STAR,19.1256,17.95891,17.77781,17.73873,17.72672,0.001042861,350.4560289038629,60.34419859284043,0
STAR,19.59534,18.33888,17.83259,17.64017,17.54989,0.00023934,348.79602790284895,-31.123528919705052,0
GALAXY,19.25157,17.19157,16.19525,15.74163,15.38346,0.06199878,269.8746594274529,-2.1491718714606804,0
STAR,19.21702,18.01118,17.89094,17.8761,17.91762,0.001078201,46.83104644702751,79.40526032625124,0
GALAXY,19.33185,18.21254,17.519,17.07756,16.84713,0.1473927,272.9747505344481,-49.11316400934967,0
QSO,19.55322,19.43875,19.24568,19.14084,19.20739,1.43029,8.851289925168544,-19.86731687555813,0
GALAXY,17.39366,16.22112,15.75643,15.49954,15.35344,0.02599558,7.964478550439011,19.162399597838217,0
STAR,18.79947,18.97394,19.17481,19.30837,19.32477,0.001123082,116.49967889383484,45.96100731071499,0
GALAXY,19.2041,18.04214,17.54848,17.21816,17.06528,0.08350793,175.91154854567966,72.29760960828693,0
GALAXY,18.86915,17.73447,17.25329,17.0395,16.85552,0.00658949,277.34667041080553,74.78513776323271,0
GALAXY,18.9721,17.87579,17.3342,16.93463,16.74589,0.05064557,245.98633557834188,49.79521338707213,0
GALAXY,19.55193,18.33518,17.737,17.40774,17.24087,0.09888644,160.5249742956294,-48.90044941320412,0
GALAXY,18.77625,16.9478,16.03059,15.56422,15.21028,0.02660205,98.50559986139972,-85.53432059233816,0
GALAXY,19.37867,17.44197,16.49375,16.03287,15.65151,0.03635695,358.96482005677603,-20.920692535987712,0
GALAXY,19.30694,18.01443,17.28729,16.87363,16.57797,0.1225454,153.42526880495026,-64.5212068221918,0
GALAXY,18.7196,17.22156,16.41532,15.96881,15.62269,0.03801033,162.49932875868316,37.86977653889366,0
GALAXY,17.41963,15.3452,14.35107,13.86729,13.50864,0.03617733,58.9045756290009,29.00350562862903,0
GALAXY,18.79792,17.73394,17.19519,16.86494,16.63138,0.0374546,286.1314375499746,-82.08510450813813,0
GALAXY,19.2669,17.30498,16.34389,15.88671,15.51674,0.03516901,249.7256012813359,60.586880243571215,0
GALAXY,18.72606,17.46576,16.727,16.27238,15.99303,0.1206335,79.47706060395375,-45.22621206758719,0
STAR,17.41267,17.09897,17.39865,17.65552,17.87561,0.000125195,29.65717642170337,-12.199126411612395,0
GALAXY,17.70856,16.44154,15.70594,15.29789,14.98198,0.03032346,244.97974874689672,30.22807238203363,0
STAR,18.74275,17.26978,16.62725,16.34429,16.21385,0.000507593,235.62403714120867,-12.704618366594405,0
STAR,18.51254,17.12438,16.53009,16.29596,16.16014,-3.74e-05,98.37342971935536,-10.56819549601019,0
GALAXY,19.25579,18.12039,17.54475,17.22807,17.05199,0.02518325,342.3108824101477,-78.18696083956674,0
GALAXY,16.70126,15.79634,15.40868,15.1901,15.01292,0.03053254,54.380841041124086,-17.740161133199308,0
GALAXY,17.34683,15.63673,14.6184,14.12285,13.67896,0.0200758,155.6405283753367,47.672620779597025,0
GALAXY,18.98516,17.34394,16.56421,16.20214,15.89514,0.02013125,339.7017312603356,74.7317406935876,0
GALAXY,19.55862,18.28053,17.79416,17.57239,17.29816,0.03038891,151.10183409340402,-15.570515328593077,0
STAR,18.36586,17.06604,17.25231,17.26211,17.17261,-0.000258867,229.8693411590708,-13.754551161765804,0
GALAXY,19.58055,17.88885,17.01648,16.55652,16.19851,0.06269012,143.13398326660595,36.47287913825738,0
GALAXY,17.86546,15.69004,14.62792,14.13005,13.7438,0.06200635,98.7174728455212,79.69896019894978,0
GALAXY,18.76578,17.57102,17.05291,16.69727,16.5134,0.07320447,354.23195326553815,-41.92903075691516,0
GALAXY,18.48396,16.76043,15.98171,15.6036,15.30425,0.03094283,147.36024227341548,-10.77404282317137,0
GALAXY,18.83207,18.59205,18.73667,18.18243,18.74379,0.09770181,321.8757133244884,53.27518383941421,0
GALAXY,19.2575,17.71424,16.91903,16.45438,16.15356,0.08081359,82.78365812079103,19.744842487326935,0
GALAXY,19.23989,18.14667,17.70473,17.36212,17.27708,0.08665648,76.71769344903,-70.09445808648815,0
GALAXY,19.49921,17.47877,16.48082,16.02574,15.6892,0.09342141,11.20826983842409,22.991892401207835,0
QSO,19.11004,18.90281,18.7216,18.47826,18.44559,0.5017995,234.60005713531865,-56.38566877248116,0
GALAXY,19.53684,18.3191,17.6644,17.2945,17.08201,0.1427079,132.669483740554,1.8388681341127435,0
STAR,18.78848,17.6971,17.24739,17.06241,16.96377,0.000146592,311.1689699422693,5.238588178878928,0
GALAXY,19.42995,17.39055,16.39533,15.93605,15.53438,0.09834226,170.35556640896058,67.71660520049727,0
GALAXY,17.07409,15.73752,15.10394,14.79194,14.54627,0.03230694,348.5496340492998,-6.751030677761136,0
GALAXY,17.87073,16.97596,16.65526,16.44427,16.28964,0.03252251,66.78918565312361,-39.70036399753904,0
GALAXY,18.24411,16.95014,16.34742,15.98839,15.75474,0.04647528,312.7043404640199,-48.426057321114314,0
QSO,18.6547,18.55897,18.57645,18.36495,18.33595,1.804534,279.57486700502704,67.3653378031805,0
STAR,16.80993,15.13045,14.5649,14.39641,14.34659,7.62e-05,277.5318640718587,-59.21804620471889,0
STAR,16.96315,15.86509,15.49731,15.37847,15.35846,0.000296697,304.12196212207954,-13.34365904103413,0
STAR,18.92824,17.38837,16.72043,16.46886,16.33774,0.00014625,273.9686367394796,-56.30883931314954,0
STAR,16.71075,15.82018,15.55912,15.46948,15.46105,-0.000282862,225.4393157873095,49.194727220587566,0
QSO,19.56484,18.09186,17.48652,17.27554,17.19135,0.4898429,47.24815596565953,-4.6129248045685785,0
GALAXY,19.40369,18.20193,17.6602,17.3032,17.1335,0.09363134,11.70942461685069,-26.794135699773832,0
QSO,19.05446,18.89726,18.7176,18.77638,18.74208,1.108809,331.5052252136473,-25.002064687235972,0
STAR,19.24837,18.34879,18.0099,17.86746,17.83098,0.000639288,221.9941132274657,63.39855721013629,0
GALAXY,18.43393,17.4587,16.9533,16.60649,16.44025,0.1241521,286.7534247514235,9.679311772998858,0
GALAXY,18.99284,17.23192,16.22528,15.76088,15.36745,0.1240381,173.348046544518,39.21621320362746,0
STAR,17.91676,16.96593,16.7293,16.60566,16.56816,0.000639694,42.23094802646201,71.46693292512322,0
STAR,18.16005,17.78136,18.0508,18.27698,18.54817,4.6e-06,45.06688519291816,72.31350168731558,0
GALAXY,19.49332,18.30225,17.55129,17.13587,16.8486,0.1588591,246.8035034024297,-30.868370219184634,0
QSO,19.55449,19.18794,19.17919,19.15136,19.08555,0.6833993,154.91012216380656,81.44122736634935,0
GALAXY,19.38338,18.22868,17.85891,17.59174,17.44765,0.08265854,72.18890161212121,-85.52234123737102,0
STAR,17.80804,16.40565,15.87302,15.66752,15.57402,0.000583676,176.97403682691728,-22.169599017090174,0
STAR,17.12679,15.69859,15.13445,14.87864,14.75702,0.000818883,23.115217347048272,71.24379435159148,0
STAR,16.95503,15.77961,15.38362,15.24728,15.20409,-3.99e-05,209.50970468918356,-40.56536163294307,0
STAR,19.27622,17.82478,17.25574,17.03518,16.95216,5.64e-05,96.83762559663516,-40.8453389421627,0
STAR,18.03662,16.98351,16.61516,16.47126,16.44409,0.000493465,287.1212762293877,-35.527988685260034,0
GALAXY,18.25865,17.02861,16.46189,16.04739,15.83471,0.06763151,111.73030521248656,20.216409272446,0
GALAXY,17.84987,16.81754,16.46004,16.16543,16.05188,0.06763194,163.87925366944842,-11.100100389416312,0
GALAXY,19.47508,18.2188,17.51735,17.12455,16.88107,0.09899619,4.183394366916229,40.81227054360167,0
GALAXY,19.41969,17.73583,16.94641,16.48913,16.14645,0.04537289,26.080879606041197,71.08391566163985,0
STAR,19.3038,18.36229,17.98717,17.82884,17.75356,0.000947285,141.29768030640653,31.355887489714917,0
GALAXY,18.19801,16.71865,16.05086,15.69007,15.42156,0.04558413,172.77798049816445,-53.19599036443641,0
GALAXY,19.13552,17.9118,17.23095,16.83471,16.63399,0.1277961,216.00739732294937,77.88274242489038,0
GALAXY,19.56746,17.68348,16.75961,16.28287,15.9689,0.08233592,104.99852833534916,-42.39128279745387,0
STAR,17.36759,16.32262,15.92653,15.78974,15.7319,0.000157315,250.1934790055553,-63.01902684093154,0
GALAXY,18.35793,16.7706,16.00919,15.55539,15.26443,0.06871629,309.64406298811366,-73.80588980502704,0
GALAXY,19.42851,17.71706,16.92463,16.53837,16.25746,0.0454929,280.74635600160593,11.409073319909808,0
GALAXY,17.70722,16.25798,15.66043,15.3037,15.05074,0.03258915,14.262777125408572,-69.52275675348267,0
GALAXY,19.5525,18.29545,17.64888,17.27122,17.03209,0.04524813,172.98250101281843,-65.02034085972646,0
GALAXY,19.02397,17.8075,17.33188,17.01379,16.87898,0.08289812,37.77486423054295,-35.994513492810604,0
GALAXY,17.68056,15.88608,15.03724,14.61983,14.32251,0.0455028,87.13620571050988,-39.30245825679651,0
GALAXY,19.30037,17.53251,16.70961,16.31328,16.05762,0.04505232,355.19853357617274,18.76311185978561,0
GALAXY,17.38289,15.45476,14.58149,14.15858,13.88777,0.04545481,51.29839544454476,57.014150305082666,0
GALAXY,18.01604,16.88368,16.37504,16.04907,15.84315,0.04709719,179.59973524248818,47.042938116520645,0
STAR,19.05784,17.99233,17.61009,17.46888,17.4226,9.92e-05,222.5360643545229,-42.752798151034185,0
GALAXY,18.98699,17.53943,16.87417,16.45842,16.1823,0.08216471,252.88738939587745,-45.844110362523615,0
QSO,19.10822,18.88631,18.82837,18.88889,18.67179,0.8238716,201.47352605528908,83.84247541925416,0
STAR,18.78645,17.8763,17.52486,17.40454,17.31874,0.000614075,3.5175050709061173,-88.51747651344718,0
STAR,17.23898,16.27942,15.99986,15.88729,15.88375,0.001127956,117.52607096783709,68.34969595083885,0
GALAXY,19.36329,18.1704,17.45988,17.04916,16.79315,0.1323511,186.3761916184961,-54.0488665579671,0
GALAXY,19.1594,17.24723,16.275,15.79847,15.4048,0.1253767,31.63193969214001,80.51117815615822,0
GALAXY,19.5099,18.07586,17.2748,16.78742,16.47528,0.1274005,126.22569523530508,-28.384688731046452,0
GALAXY,17.08624,15.41548,14.67285,14.25464,13.94828,0.04874202,11.953119164891962,-10.736680699214588,0
GALAXY,18.25216,16.97763,16.14039,15.70377,15.40898,0.09546115,28.288258975807462,37.28171050998857,0
GALAXY,19.04738,17.27611,16.22921,15.76583,15.47639,0.1504243,142.8923794325746,15.780429265186854,0
STAR,18.05222,17.573,17.58442,17.96936,17.81894,-0.000185248,47.777671455501725,-32.77092065277189,0
